Species,Admission date,Status,Injury Cause,Notes,
Brown Pelican,2021,DOA,Collision - powerline,North Charleston,
Eastern Screech Owl,2020,D,Collision - Unknown,Charleston,
Barred Owl,2020,EOA,Collision - Unknown,,
Sharp-shinned Hawk,2021,D24,Collision - Unknown,Moncks Corner,
Cooper's Hawk,2021,R,Collision - Unknown,Charleston,
Osprey,2021,D,Collision - Unknown,Charleston,
Barred Owl,2021,EOA,Collision - Unknown,Savannah,
Common Barn owl,2021,DOA,Collision - Unknown,Daniel Island,
Cooper's Hawk,2021,R,Collision - Unknown,Summerville,
Laughing Gull,2021,R,Collision - Unknown,Folly Beach,
Laughing Gull,2021,E24,Collision - Unknown,North Charleston,
Red-shouldered Hawk,2021,D,Collision - Unknown,Charleston,
Clapper Rail,2022,R,Collision - Unknown,Mt Pleasant,
Mississippi Kite,2022,EOA,Collision - Unknown,Okatie,
Short-billed Dowitcher,2022,D,Collision - Unknown,Mount Pleasant,
Clapper Rail,2022,E24,Collision - Unknown,Summerville,
Red-tailed Hawk,2019,R,Collision - vehicle,Ravenel,
Red-shouldered Hawk,2019,R,Collision - vehicle,Georgetown,
Barred Owl,2020,EOA,Collision - vehicle,Cottageville,
Red-shouldered Hawk,2020,R,Collision - vehicle,Columbia,
Eastern Screech Owl,2020,E,Collision - vehicle,West Ashley,
Barred Owl,2020,R,Collision - vehicle,Cottageville,
Barred Owl,2020,EOA,Collision - vehicle,Cottageville,
Red-tailed Hawk,2020,EOA,Collision - vehicle,Charleston,
Barred Owl,2020,R,Collision - vehicle,Lexington,
Red-tailed Hawk,2020,R,Collision - vehicle,Bluffton,
Barred Owl,2020,E,Collision - vehicle,Florence,
Barred Owl,2020,E,Collision - vehicle,Bluffton,
Red-shouldered Hawk,2020,R,Collision - vehicle,Columbia,
Barred Owl,2020,E,Collision - vehicle,Georgetown,
Red-shouldered Hawk,2020,R,Collision - vehicle,James Island,
Barred Owl,2020,D24,Collision - vehicle,Ravenel,
Barred Owl,2020,EOA,Collision - vehicle,Saint Stephen,
Great Horned Owl,2020,E,Collision - vehicle,Leesville,
Great Blue Heron,2020,D24,Collision - vehicle,Mt. Pleasant,
Barred Owl,2020,R,Collision - vehicle,Ladson,
Barred Owl,2020,R,Collision - vehicle,Florence,
Great Horned Owl,2020,EOA,Collision - vehicle,Salters,
Red-tailed Hawk,2020,R,Collision - vehicle,Folly Beach,
Barred Owl,2020,R,Collision - vehicle,Florence,
Barred Owl,2020,D24,Collision - vehicle,Cordesville,
Little Blue Heron,2020,R,Collision - vehicle,Ridgeland,
Black Vulture,2020,EOA,Collision - vehicle,Summerville,
Great Blue Heron,2020,EOA,Collision - vehicle,Hemingway,
Turkey Vulture,2020,EOA,Collision - vehicle,Hollywood,
Great Horned Owl,2020,R,Collision - vehicle,North Charleston,
Barred Owl,2020,E,Collision - vehicle,Daniel Island,
Barred Owl,2020,EOA,Collision - vehicle,Bonneau,
Barred Owl,2020,R,Collision - vehicle,Hardeeville,
Red-shouldered Hawk,2020,D24,Collision - vehicle,Hilton Head Island,
Barred Owl,2020,R,Collision - vehicle,West Ashley,
Eastern Screech Owl,2020,R,Collision - vehicle,St. Stephens,
Barred Owl,2020,R,Collision - vehicle,Yemassee,
